Unnamed: 0,ts_code,trade_date,pe,pe_ttm,pb,total_mv
250,601601.SH,20200225,16.7873,10.7197,1.7769,30248956.0
251,601601.SH,20200224,16.9733,10.8386,1.7966,30584250.0
252,601601.SH,20200221,17.3606,11.0858,1.8376,31282024.0
253,601601.SH,20200220,17.4008,11.1115,1.8419,31354520.0
254,601601.SH,20200219,17.0287,10.8739,1.8025,30683932.0
255,601601.SH,20200218,16.9784,10.8418,1.7971,30593312.0
256,601601.SH,20200217,17.2198,10.9959,1.8227,31028288.0
257,601601.SH,20200214,16.8979,10.7904,1.7886,30448320.0
258,601601.SH,20200213,16.7219,10.678,1.77,30131150.0
259,601601.SH,20200212,16.7973,10.7262,1.778,30267080.0
260,601601.SH,20200211,16.8375,10.7519,1.7822,30339576.0
261,601601.SH,20200210,16.6766,10.6491,1.7652,30049592.0
262,601601.SH,20200207,16.7973,10.7262,1.778,30267080.0
263,601601.SH,20200206,16.8979,10.7904,1.7886,30448320.0
264,601601.SH,20200205,16.8878,10.784,1.7876,30430196.0
265,601601.SH,20200204,16.9784,10.8418,1.7971,30593312.0
266,601601.SH,20200203,16.5006,10.5367,1.7466,29732422.0
267,601601.SH,20200123,18.0848,11.5483,1.9143,32586952.0
268,601601.SH,20200122,18.5977,11.8759,1.9686,33511276.0
269,601601.SH,20200121,18.5022,11.8148,1.9584,33339098.0
270,601601.SH,20200120,19.0101,12.1392,2.0122,34254360.0
271,601601.SH,20200117,18.9749,12.1167,2.0085,34190926.0
272,601601.SH,20200116,18.8945,12.0653,2.0,34045934.0
273,601601.SH,20200115,19.332,12.3447,2.0463,34834328.0
274,601601.SH,20200114,19.5483,12.4828,2.0692,35223994.0
275,601601.SH,20200113,19.5181,12.4635,2.066,35169622.0
276,601601.SH,20200110,19.337,12.3479,2.0468,34843390.0
277,601601.SH,20200109,19.5633,12.4924,2.0708,35251180.0
278,601601.SH,20200108,19.3622,12.364,2.0495,34888700.0
279,601601.SH,20200107,19.6589,12.5535,2.0809,35423358.0
280,601601.SH,20200106,19.4125,12.3961,2.0548,34979320.0
281,601601.SH,20200103,19.9254,12.7237,2.1091,35903644.0
282,601601.SH,20200102,19.5533,12.486,2.0697,35233056.0
283,601601.SH,20191231,19.0303,12.152,2.0143,34290608.0
284,601601.SH,20191230,19.2364,12.2837,2.0362,34662150.0
285,601601.SH,20191227,18.4972,11.8116,1.9579,33330036.0
286,601601.SH,20191226,18.6329,11.8983,1.9723,33574710.0
287,601601.SH,20191225,18.5072,11.818,1.959,33348160.0
288,601601.SH,20191224,18.5676,11.8566,1.9654,33456904.0
289,601601.SH,20191223,18.6128,11.8855,1.9702,33538462.0
290,601601.SH,20191220,18.9096,12.075,2.0016,34073120.0
291,601601.SH,20191219,18.9498,12.1007,2.0058,34145616.0
292,601601.SH,20191218,19.0353,12.1552,2.0149,34299670.0
293,601601.SH,20191217,18.8643,12.0461,1.9968,33991562.0
294,601601.SH,20191216,18.7637,11.9818,1.9861,33810322.0
295,601601.SH,20191213,18.6581,11.9144,1.9749,33620020.0
296,601601.SH,20191212,18.0144,11.5033,1.9068,32460084.0
297,601601.SH,20191211,17.7579,11.3395,1.8797,31997922.0
298,601601.SH,20191210,17.5567,11.2111,1.8584,31635442.0
299,601601.SH,20191209,17.5064,11.179,1.853,31544822.0
300,601601.SH,20191206,17.5115,11.1822,1.8536,31553884.0
301,601601.SH,20191205,17.4712,11.1565,1.8493,31481388.0
302,601601.SH,20191204,17.2801,11.0345,1.8291,31137032.0
303,601601.SH,20191203,17.3254,11.0634,1.8339,31218590.0
304,601601.SH,20191202,17.3606,11.0858,1.8376,31282024.0
305,601601.SH,20191129,17.2248,10.9991,1.8232,31037350.0
306,601601.SH,20191128,17.3153,11.0569,1.8328,31200466.0
307,601601.SH,20191127,17.441,11.1372,1.8461,31427016.0
308,601601.SH,20191126,17.3757,11.0955,1.8392,31309210.0
309,601601.SH,20191125,17.5668,11.2175,1.8594,31653566.0
310,601601.SH,20191122,17.3505,11.0794,1.8365,31263900.0
311,601601.SH,20191121,17.4159,11.1212,1.8435,31381706.0
312,601601.SH,20191120,17.4461,11.1404,1.8467,31436078.0
313,601601.SH,20191119,17.8987,11.4295,1.8946,32251658.0
314,601601.SH,20191118,18.0093,11.5001,1.9063,32451022.0
315,601601.SH,20191115,17.5416,11.2015,1.8568,31608256.0
316,601601.SH,20191114,17.6171,11.2496,1.8647,31744186.0
317,601601.SH,20191113,17.8886,11.423,1.8935,32233534.0
318,601601.SH,20191112,18.5223,11.8277,1.9606,33375346.0
319,601601.SH,20191111,18.2709,11.6671,1.934,32922246.0
320,601601.SH,20191108,18.5122,11.8213,1.9595,33357222.0
321,601601.SH,20191107,18.4972,11.8116,1.9579,33330036.0
322,601601.SH,20191106,18.1753,11.6061,1.9238,32750068.0
323,601601.SH,20191105,18.3262,11.7024,1.9398,33021928.0
324,601601.SH,20191104,18.1753,11.6061,1.9238,32750068.0
325,601601.SH,20191101,17.7528,11.3363,1.8791,31988860.0
326,601601.SH,20191031,17.3555,11.0826,1.8371,31272962.0
327,601601.SH,20191030,17.3757,12.0661,2.0402,31309210.0
328,601601.SH,20191029,17.436,12.108,2.0473,31417954.0
329,601601.SH,20191028,17.8132,12.37,2.0915,32097604.0
330,601601.SH,20191025,17.6573,12.2617,2.0732,31816682.0
331,601601.SH,20191024,17.7981,12.3595,2.0898,32070418.0
332,601601.SH,20191023,17.7428,12.3211,2.0833,31970736.0
333,601601.SH,20191022,17.9942,12.4957,2.1128,32423836.0
334,601601.SH,20191021,18.1552,12.6075,2.1317,32713820.0
335,601601.SH,20191018,18.0345,12.5236,2.1175,32496332.0
336,601601.SH,20191017,18.467,12.824,2.1683,33275664.0
337,601601.SH,20191016,18.4871,12.8379,2.1707,33311912.0
338,601601.SH,20191015,18.5676,12.8938,2.1801,33456904.0
339,601601.SH,20191014,18.6531,12.9532,2.1902,33610958.0
340,601601.SH,20191011,18.3513,12.7437,2.1547,33067238.0
341,601601.SH,20191010,18.0747,12.5516,2.1222,32568828.0
342,601601.SH,20191009,18.1401,12.597,2.1299,32686634.0
343,601601.SH,20191008,17.8836,12.4189,2.0998,32224472.0
344,601601.SH,20190930,17.5366,12.1779,2.0591,31599194.0
345,601601.SH,20190927,17.9037,12.4328,2.1022,32260720.0
346,601601.SH,20190926,17.949,12.4643,2.1075,32342278.0
347,601601.SH,20190925,17.8937,12.4259,2.101,32242596.0
348,601601.SH,20190924,17.8333,12.3839,2.0939,32133852.0
349,601601.SH,20190923,18.3312,12.7297,2.1524,33030990.0
350,601601.SH,20190920,18.7084,12.9916,2.1966,33710640.0
351,601601.SH,20190919,18.6782,12.9707,2.1931,33656268.0
352,601601.SH,20190918,18.7034,12.9881,2.1961,33701578.0
353,601601.SH,20190917,18.7536,13.023,2.202,33792198.0
354,601601.SH,20190916,19.0353,13.2186,2.235,34299670.0
355,601601.SH,20190912,19.508,13.5469,2.2905,35151498.0
356,601601.SH,20190911,19.2264,13.3513,2.2575,34644026.0
357,601601.SH,20190910,19.0856,13.2535,2.2409,34390290.0
358,601601.SH,20190909,19.3672,13.4491,2.274,34897762.0
359,601601.SH,20190906,19.679,13.6656,2.3106,35459606.0
360,601601.SH,20190905,19.3773,13.4561,2.2752,34915886.0
361,601601.SH,20190904,19.2113,13.3409,2.2557,34616840.0
362,601601.SH,20190903,18.9196,13.1383,2.2214,34091244.0
363,601601.SH,20190902,18.9498,13.1592,2.225,34145616.0
364,601601.SH,20190830,19.0101,13.2012,2.2321,34254360.0
365,601601.SH,20190829,18.8442,13.0859,2.2126,33955314.0
366,601601.SH,20190828,18.8391,13.0824,2.212,33946252.0
367,601601.SH,20190827,19.1962,13.3304,2.2539,34589654.0
368,601601.SH,20190826,19.4628,13.5155,2.2852,35069940.0
369,601601.SH,20190823,20.1266,18.3654,2.3699,36266124.0
370,601601.SH,20190822,19.669,17.9478,2.316,35441482.0
