,ts_code,trade_date,net_mf_vol,net_mf_amount
554,603288.SH,20181107,4518,2997.06
555,603288.SH,20181106,-539,-337.89
556,603288.SH,20181105,-2645,-1724.09
557,603288.SH,20181102,3592,2459.58
558,603288.SH,20181101,-4600,-3006.56
559,603288.SH,20181031,6292,3759.54
560,603288.SH,20181030,1633,992.96
561,603288.SH,20181029,1442,698.04
562,603288.SH,20181026,-11889,-7708.9
563,603288.SH,20181025,-8385,-5765.38
564,603288.SH,20181024,-3874,-2734.61
565,603288.SH,20181023,930,678.16
566,603288.SH,20181022,-6941,-5228.29
567,603288.SH,20181019,6740,4796.13
568,603288.SH,20181018,3262,2280.24
569,603288.SH,20181017,-4688,-3289.86
570,603288.SH,20181016,408,308.76
571,603288.SH,20181015,-14102,-10014.21
572,603288.SH,20181012,9249,6830.85
573,603288.SH,20181011,2060,1564.81
574,603288.SH,20181010,531,405.6
575,603288.SH,20181009,8383,6300.79
576,603288.SH,20181008,-8830,-6652.02
577,603288.SH,20180928,2379,1889.12
578,603288.SH,20180927,4706,3698.75
579,603288.SH,20180926,-3120,-2379.97
580,603288.SH,20180925,1075,832.81
581,603288.SH,20180921,11234,8332.77
582,603288.SH,20180920,45,45.45
583,603288.SH,20180919,6228,4368.01
584,603288.SH,20180918,8862,6176.33
585,603288.SH,20180917,45,40.46
586,603288.SH,20180914,-565,-376.5
587,603288.SH,20180913,6893,4759.12
588,603288.SH,20180912,5623,3836.85
589,603288.SH,20180911,9,9.37
590,603288.SH,20180910,-6620,-4389.93
591,603288.SH,20180907,-2081,-1412.78
592,603288.SH,20180906,-115,-77.89
593,603288.SH,20180905,3890,2686.87
594,603288.SH,20180904,3355,2268.19
595,603288.SH,20180903,300,197.9
596,603288.SH,20180831,2470,1695.06
597,603288.SH,20180830,-3829,-2613.12
598,603288.SH,20180829,559,388.91
599,603288.SH,20180828,-2311,-1574.58
600,603288.SH,20180827,-2600,-1794.56
601,603288.SH,20180824,-4203,-2864.04
602,603288.SH,20180823,5235,3635.68
603,603288.SH,20180822,-91,-55.59
604,603288.SH,20180821,5662,3947.71
605,603288.SH,20180820,1201,818.08
606,603288.SH,20180817,-5364,-3615.78
607,603288.SH,20180816,4669,3219.34
608,603288.SH,20180815,-2343,-1587.21
609,603288.SH,20180814,-2409,-1653.07
610,603288.SH,20180813,-1399,-958.93
611,603288.SH,20180810,5757,3996.32
612,603288.SH,20180809,11693,7910.3
613,603288.SH,20180808,-8384,-5480.28
614,603288.SH,20180807,6666,4378.71
615,603288.SH,20180806,-3570,-2449.28
616,603288.SH,20180803,-2942,-2027.1
617,603288.SH,20180802,-3720,-2481.78
618,603288.SH,20180801,-10063,-7036.64
619,603288.SH,20180731,-1913,-1333.27
620,603288.SH,20180730,-9512,-6710.67
621,603288.SH,20180727,12189,8875.52
622,603288.SH,20180726,-2844,-2005.37
623,603288.SH,20180725,-7386,-5269.43
624,603288.SH,20180724,-7457,-5314.31
625,603288.SH,20180723,-10892,-7768.99
626,603288.SH,20180720,1988,1464.4
627,603288.SH,20180719,2787,2046.75
628,603288.SH,20180718,518,398.04
629,603288.SH,20180717,-5018,-3725.38
630,603288.SH,20180716,-1535,-1152.11
631,603288.SH,20180713,-3998,-3038.01
632,603288.SH,20180712,-153,-112.99
633,603288.SH,20180711,-4193,-3126.98
634,603288.SH,20180710,-2059,-1554.28
635,603288.SH,20180709,14149,10762.69
636,603288.SH,20180706,8048,5889.15
637,603288.SH,20180705,-1489,-1048.45
638,603288.SH,20180704,1354,1026.98
639,603288.SH,20180703,-237,-124.7
640,603288.SH,20180702,4367,3269.61
641,603288.SH,20180629,5574,4066.42
642,603288.SH,20180628,5991,4368.69
643,603288.SH,20180627,-3766,-2659.21
644,603288.SH,20180626,4446,3392.47
645,603288.SH,20180625,11317,8703.61
646,603288.SH,20180622,-2040,-1474.68
647,603288.SH,20180621,-9716,-7306.14
648,603288.SH,20180620,-5073,-3837.41
649,603288.SH,20180619,-6267,-4785.78
650,603288.SH,20180615,4512,3512.44
651,603288.SH,20180614,-4327,-3286.48
652,603288.SH,20180613,-5322,-4104.38
653,603288.SH,20180612,10378,8178.0
654,603288.SH,20180611,183,66.82
655,603288.SH,20180608,14579,12072.19
656,603288.SH,20180607,11803,9642.53
657,603288.SH,20180606,4161,3448.92
658,603288.SH,20180605,14989,11819.65
659,603288.SH,20180604,15955,12286.69
660,603288.SH,20180601,-5897,-4337.38
661,603288.SH,20180531,10676,8086.75
662,603288.SH,20180530,3556,2646.88
663,603288.SH,20180529,6325,4639.12
664,603288.SH,20180528,13369,9579.73
665,603288.SH,20180525,372,262.97
666,603288.SH,20180524,-8067,-5530.02
667,603288.SH,20180523,2531,1795.86
668,603288.SH,20180522,-1512,-1042.51
669,603288.SH,20180521,3905,2710.86
670,603288.SH,20180518,-2972,-2017.81
671,603288.SH,20180517,-1476,-1016.76
672,603288.SH,20180516,3172,2275.91
